H0,H1,H2,date,alias
Commemorating the SCOTUS gay marriage decision 5 years later,,,2020-06-27,abcnews
"Faces of some of the more than 120,000 lives lost in US to coronavirus",,,2020-06-27,abcnews
New mom celebrates COVID recovery after delivering son while in ICU,,,2020-06-27,abcnews
"COVID-19 in children is usually mild, deaths rare, study says",,,2020-06-27,abcnews
Infant mortality rates in decline in the US as teen pregnancy decreases: CDC,,,2020-06-27,abcnews
"PHOTOS: Death of George Floyd sparks widespread outcry, protests",,,2020-06-27,abcnews
Photographer describes capturing shooting: 'Whole sequence probably took a minute',,,2020-06-27,abcnews
'Mulan' release date pushed back again,,,2020-06-27,abcnews
Daytime Emmys go virtual in age of coronavirus pandemic,,,2020-06-27,abcnews
Carrie Fisher's daughter Billie Lourd announces she's engaged!,,,2020-06-27,abcnews
These 2 moms are bringing diverse books to their community one lemonade at a time,,,2020-06-27,abcnews
Photos: Creative coronavirus social distancing,,,2020-06-27,abcnews
'Jeopardy!' host Alex Trebek and wife Jean donate $500,,,2020-06-27,abcnews
K to local homeless shelter,,,2020-06-27,abcnews
This valedictorian hasn't missed a day of school since pre-K,,,2020-06-27,abcnews
Broadway star buys house built by slaves: 'I've never been prouder to be a Black man',,,2020-06-27,abcnews
Ariana Grande rings in 27 with a selfie featuring her new beau,,,2020-06-27,abcnews
Why Michael B. Jordan is playing free movies at drive-ins across the US all summer,,,2020-06-27,abcnews
Katy Perry shares her ultimate hope for her daughter,,,2020-06-27,abcnews
Nicole Kidman and Keith Urban celebrate wedding anniversary,,,2020-06-27,abcnews
Sia talks 'blessing' of motherhood after adopting 2 sons: 'I'm in heaven',,,2020-06-27,abcnews
"How to do your own box braids like a pro: tools, tips and best practices",,,2020-06-27,abcnews
Pediatrician adopts her 10-year-old patient and his younger sister,,,2020-06-27,abcnews
This bakery put a fun twist on the classic black-and-white cookie,,,2020-06-27,abcnews
"Search for Black-owned businesses up over 1,700% and people are craving fondue: Yelp",,,2020-06-27,abcnews
Ford's new pickup truck available as a hybrid for 1st time in 43 years,,,2020-06-27,abcnews
Check out these face masks designed to wear while working out,,,2020-06-27,abcnews
Kanye West is bringing his Yeezy line to Gap,,,2020-06-27,abcnews
Beyonce to be honored with the Humanitarian Award at 2020 BET Awards,,,2020-06-27,abcnews
Jenna Marbles announces she's quitting You,,,2020-06-27,abcnews
Tube over 'shameful' videos,,,2020-06-27,abcnews
Faith Hill slams the Mississippi flag as a 'symbol of terror',,,2020-06-27,abcnews
Trisha Yearwood: Count on Garth Brooks to bring it for drive-in concerts this weekend,,,2020-06-27,abcnews
'GMA' Deals & Steals on summer fashion and accessories,,,2020-06-27,abcnews
"BLM Protest, Social Distancing, Juneteenth: This Week In Pictures",,,2020-06-27,abcnews
"Joel Schumacher, Ian Holm and other notable people who died in 2020",,,2020-06-27,abcnews
George Floyd protests have spread to small cities and towns in the US,,,2020-06-27,abcnews
PHOTOS: Coronavirus outbreak sparks global health emergency,,,2020-06-27,abcnews
Scenes of the Summer,,,2020-06-27,abcnews
East Coast at risk of severe weather this weekend,,,2020-06-27,abcnews
Judge urges release of migrant children,,,2020-06-27,abcnews
Police declare end to using tear gas at protests,,,2020-06-27,abcnews
Which US states require masks?,,,2020-06-27,abcnews
6 injured during stabbing incident in Scotland,,,2020-06-27,abcnews
House votes to grant statehood to DC,,,2020-06-27,abcnews
Country sees rising concerns over COVID-19: POLL,,,2020-06-27,abcnews
CDC is 'highly concerned' about COVID in the fall,,,2020-06-27,abcnews
American joins United in filling jets to capacity,,,2020-06-27,abcnews
Russian director avoids jail in controversial case,,,2020-06-27,abcnews
Michelle Obama's explains importance of voting,,,2020-06-27,abcnews
Where COVID-19 clusters have occurred around US,,,2020-06-27,abcnews
NYPD officer arrested on strangulation charges,,,2020-06-27,abcnews
Why companies are boycotting Facebook ads,,,2020-06-27,abcnews
Visa limits raise deportation concerns for doctors,,,2020-06-27,abcnews
Brief interventions may lower suicide rates: Study,,,2020-06-27,abcnews
Egypt eases restrictions despite surge in cases,,,2020-06-27,abcnews
"Storms leave 3 dead, 12 missing in southwest China",,,2020-06-27,abcnews
"'Pop, Lock & Drop' rapper Huey killed in shooting",,,2020-06-27,abcnews
Tensions rise at virus hot spot in southern Italy,,,2020-06-27,abcnews
3 die in New Mexico from drinking hand sanitizer,,,2020-06-27,abcnews
Amazon buy self-driving technology company Zoox,,,2020-06-27,abcnews
Acclaimed Russian director convicted but no prison,,,2020-06-27,abcnews
Pentagon chief seeks to reassure NATO over plans,,,2020-06-27,abcnews
Council puts plan to abolish police in motion,,,2020-06-27,abcnews
Astronaut loses mirror whilst on spacewalk,,,2020-06-27,abcnews
Danish PM postpones wedding because of EU summit,,,2020-06-27,abcnews
Myanmar destroys drugs worth more than $800m,,,2020-06-27,abcnews
Manila police arrest 20 protesters seeking aid,,,2020-06-27,abcnews
"Country music takes on racial stereotypes, future",,,2020-06-27,abcnews
"Zimbabwe copes with diarrhea outbreak, 9 dead",,,2020-06-27,abcnews
UK police attacked after second night of parties,,,2020-06-27,abcnews
Koala joey enjoys her 1st eucalyptus leaf ,,,2020-06-27,abcnews
Baby elephant explores enclosure ,,,2020-06-27,abcnews
Soccer field turns into drive-in theater ,,,2020-06-27,abcnews
Firefighters rescue ducklings from storm drain,,,2020-06-27,abcnews
How the World Missed Covid-19s Silent Spread,"Symptomless transmission makes the coronavirus far harder to fight. But health officials dismissed the risk for months, pushing misleading and contradictory claims in the face of mounting evidence.",,2020-06-27,nytimes
Leaders Re-examine U.S. Reopenings as Coronavirus Cases Hit Another Record,"Officials nationwide were rethinking their efforts to slow the virus, which the nations top infectious disease expert said were not working.",,2020-06-27,nytimes
Obamacare Faces Unprecedented Test as Economy Sinks,The battles over the health law have played out during a decade of continuous economic growth. How it performs as a safety net now may help determine its future.,,2020-06-27,nytimes
43% of U.S. Coronavirus Deaths Are Linked to Nursing Homes,"The virus has devastated residents and staff members in more than 12,000 long-term care facilities across the country.",,2020-06-27,nytimes
"For Boris Johnsons Science Advisers, Pressure, Anxieties and Pastoral Support","As public scrutiny of a secretive panel of scientists heightened, its members nearly buckled under the strain.",,2020-06-27,nytimes
How the Coronavirus Short-Circuits the Immune System,"In a disturbing parallel to H.I.V., the coronavirus can cause a depletion of important immune cells, recent studies found.",,2020-06-27,nytimes
The Black Officer Who Detained George Floyd Had Pledged to Fix the Police,"Alex Kueng is one of four former officers accused of crimes in the killing of Mr. Floyd, which happened on his third shift. His decision to join the force had frayed friendships.",,2020-06-27,nytimes
A Reckoning With Race to Ensure Diversity for Americas Face Abroad,"The national conversation about discrimination is overdue at the State Department, according to those who have been disparaged in a culture that favors pale, male and Yale diplomats.",,2020-06-27,nytimes
How College Sports Spurred Mississippi to Seriously Reconsider Its Flag,"Time and again, debate over the states flag and its Confederate battle imagery faded away. Then college sports leaders threatened to take away some of the biggest games.",,2020-06-27,nytimes
PizzaGate Conspiracy Theory Thrives Anew in the TikTok Era,"The false theory targeting Democrats, now fueled by QAnon and teenagers on TikTok, is entangling new targets like Justin Bieber.",,2020-06-27,nytimes
"Russia Secretly Offered Afghan Militants Bounties to Kill U.S. Troops, Intelligence Says",The Trump administration has been deliberating for months about what to do about a stunning intelligence assessment.,,2020-06-27,nytimes
New Numbers Showing Coronavirus Spread Intrude on a White House in Denial,Both President Trump and Vice President Pence seem oblivious to the new chapter in the pandemic.,,2020-06-27,nytimes
How Trump and the Black Lives Matter Movement Changed White Voters Minds,"A majority of American voters support demonstrations on police brutality, and many see the president as ill-equipped on racial justice.",,2020-06-27,nytimes
Biden Still Wants to Close Guantnamo Prison,The Obama administration ran into a wall of political opposition when it tried. The former vice president rarely brings up the topic and has yet to draw up a strategy but says he shares the goal.,,2020-06-27,nytimes
"Milton Glaser, Master Designer of I  NY Logo, Is Dead at 91","He also created the famous poster of Bob Dylan with psychedelic hair, was a co-founder of New York magazine and produced designs for everything from supermarkets to restaurants to Mad Men.",,2020-06-27,nytimes
11 of Our Best Weekend Reads,How the virus won. What is owed? Gretchen Whitmer. David Sedaris. The last days of Pop Smoke. And more.,,2020-06-27,nytimes
"News Quiz: Geoffrey Berman, Coronavirus, Statues",Did you follow the headlines this week?,,2020-06-27,nytimes
A Bit of Relief: The Long Distance Chorus,How the elementary school students of Staten Islands P.S. 22 Chorus are harmonizing through the pandemic.,,2020-06-27,nytimes
Place Your Bets on Bidens V.P.,"Plus, a Supreme Court mystery.",,2020-06-27,nytimes
Watch This Protest Turn From Peaceful to Violent in 60 Seconds,"As a former police officer, Ive handled large protests. What I saw in Seattle disturbed me.",,2020-06-27,nytimes
You Want a Confederate Monument? My Body Is a Confederate Monument,The black people I come from were owned and raped by the white people I come from. Who dares to tell me to celebrate them?,,2020-06-27,nytimes
After the Statues Fall,Some deserve to be toppled. But monuments to those who sought to make the union more perfect should stand.,,2020-06-27,nytimes
"Yes, even during the coronavirus.",,,2020-06-27,nytimes
Can Covid Damage the Brain?,I tell the same stories repeatedly; I forget words I know.,,2020-06-27,nytimes
"If you want to let freedom ring, hammer on economic injustice.",,,2020-06-27,nytimes
Im a Health Care Worker. You Need to Know How Close We Are to Breaking.,"Now its hospital staff in Arizona who are being challenged by the coronavirus, and that didnt have to be.",,2020-06-27,nytimes
Why Did Kim Jong-uns Sister Become the Face of North Korea?,Hes fierce. Shes fiercer. Or so goes their game.,,2020-06-27,nytimes
That Would Never Happen at My Parents Job,People with the same jobs as their parents on how professions have changed.,,2020-06-27,nytimes
Last Testament of Maurice the Rooster,Cultivate your garden. That never disappoints.,,2020-06-27,nytimes
America Is Facing 5 Epic Crises All at Once,This is not the time to obsess about symbolism.,,2020-06-27,nytimes
The Rebel Physicist Trying to Fix Quantum Mechanics,"For a century, quantum theory has been scientific orthodoxy. The Italian physicist Angelo Bassi is certain it isnt the full story  and that he can prove it.",,2020-06-27,nytimes
Why Out-of-Work New Yorkers Are Starting Cooking Businesses,"Restaurants might be slowly reopening, but that hasnt stopped chefs and bakers, stuck at home, from starting their own side gigs.",,2020-06-27,nytimes
Is It Safe to Go Back to the Dentist?,"Dentists are donning head-to-toe protective equipment, switching to laser instruments and taking other steps to reassure patients that its safe to get back in the chair.",,2020-06-27,nytimes
"U.S. Must Release Children From Family Detention Centers, Judge Rules","The order, which cited the severity of the coronavirus pandemic, applies to children held in the nations three family detention centers for more than 20 days.",,2020-06-27,nytimes
Trump Issues Executive Order Targeting Vandalism Against Monuments,The order also threatens to withhold funding from local governments that fail to protect their own statues from vandals.,,2020-06-27,nytimes
7 Killed in Crash in El Paso After Border Patrol Tried to Stop Car,"The vehicle, which was carrying 10 people, had been pursued before it crashed into a semitrailer on private property, the authorities said.",,2020-06-27,nytimes
E.U. Plans to Bar Most U.S. Travelers When Bloc Reopens,"Europe will allow outsiders to begin entering again on July 1, but the U.S. and Russia are now among the nations considered too risky because they have not controlled the coronavirus outbreak.",,2020-06-27,nytimes
White Actors Leaving Nonwhite Roles at The Simpsons and Family Guy,"Mike Henry said he would no longer voice the Family Guy character Cleveland Brown, while the producers of The Simpsons said they would stop using white actors to play nonwhite characters.",,2020-06-27,nytimes
We Live From the Tourists: Orlando Workers Face Viruss Fallout,"The pandemic decimated central Floridas once-booming leisure and hospitality industry. Disney World and other destinations have started to reopen, but infections in the state are surging.",,2020-06-27,nytimes
EBays Critics Faced an Extreme Case of an Old Silicon Valley Habit,Six former employees were recently named in federal charges that were an indication of the lengths some companies will go to hit back at detractors.,,2020-06-27,nytimes
Your 2020 Virtual Pride Guide,"L.G.B.T.Q. Pride events will look and feel very different this year, but many are still on  online. Here are some of the most notable, with details on when and how to tune in.",,2020-06-27,nytimes
"In Seizing Control, China Sidelines Its Allies in Hong Kong",Local tycoons and British-trained civil servants helped promote Beijings agenda in the territory. Now Beijing seems ready to push them aside.,,2020-06-27,nytimes
How to Raise an Anti-Racist Kid,"The books we read, the movies we watch, the friends we make, the doctors we visit and the conversations we have at home all shape our childrens views of race.",,2020-06-27,nytimes
